gene_name,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pvals_adj_weighted,logfoldchanges_abs,significance,rank,_gene_upper,in_sets,ncbi_summary,ncbi_summary_short,molecule_class
IFI44L,-3.408944607,-1.685510159,0.0006521470525,0.01196757345,0.05073649755,0.03807943136,1.685510159,Downregulated,3.23954024,IFI44L,HALLMARK_INTERFERON_ALPHA_RESPONSE;HALLMARK_INTERFERON_GAMMA_RESPONSE,"Predicted to be involved in immune response. Predicted to act upstream of or within cellular response to virus. Predicted to be located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2025]","Predicted to be involved in immune response. Predicted to act upstream of or within cellular response to virus. Predicted to be located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2025]",other/immune
GPR18,-3.639966488,-1.01972723,0.0002726734143,0.005830974503,0.1423895254,0.0185534849,1.01972723,Downregulated,2.278334596,GPR18,HALLMARK_INTERFERON_GAMMA_RESPONSE,"Enables G protein-coupled receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to act upstream of or within T cell differentiation; negative regulation of leukocyte chemotaxis; and negative regulation of tumor necrosis factor production. Predicted to be located in membrane. Predicted to be active in plasma membrane. [provided by Alliance of Genome Resources, Jul 2025]",Enables G protein-coupled receptor activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to act upstream of or within T cell differentiation; negative regulation of leukocyte chemotaxis; and negative regulation of tumor necrosis factor production. Predicted to,receptor
SERPINB2,3.947942019,1.967697024,7.882587827e-05,0.0020630321,0.1947626841,0.006564328981,1.967697024,Upregulated,5.284238581,SERPINB2,HALLMARK_COMPLEMENT;HALLMARK_TNFA_SIGNALING_VIA_NFKB,"Predicted to enable serine-type endopeptidase inhibitor activity. Predicted to be involved in fibrinolysis and negative regulation of apoptotic process. Predicted to be located in extracellular region and plasma membrane. Predicted to be active in cornified envelope and extracellular space. [provided by Alliance of Genome Resources, Apr 2025]",Predicted to enable serine-type endopeptidase inhibitor activity. Predicted to be involved in fibrinolysis and negative regulation of apoptotic process. Predicted to be located in extracellular region and plasma membrane. Predicted to be active in cornified envelope and extracellular space. [provide,inhibitor / negative regulator
XAF1,-4.019087791,-1.17666328,5.842390582e-05,0.001592441968,0.1129296236,0.005066965734,1.17666328,Downregulated,3.292229003,XAF1,HALLMARK_INTERFERON_GAMMA_RESPONSE,"This gene encodes a protein which binds to and counteracts the inhibitory effect of a member of the IAP (inhibitor of apoptosis) protein family. IAP proteins bind to and inhibit caspases which are activated during apoptosis. The proportion of IAPs and proteins which interfere with their activity, such as the encoded protein, affect the progress of the apoptosis signaling pathway. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2012]","This gene encodes a protein which binds to and counteracts the inhibitory effect of a member of the IAP (inhibitor of apoptosis) protein family. IAP proteins bind to and inhibit caspases which are activated during apoptosis. The proportion of IAPs and proteins which interfere with their activity, su",inhibitor / negative regulator
SLAMF7,4.992784023,1.241889,5.951514476e-07,2.841673938e-05,0.3469721768,9.041877042e-05,1.241889,Upregulated,5.646156135,SLAMF7,HALLMARK_INTERFERON_GAMMA_RESPONSE,"Enables identical protein binding activity. Predicted to be involved in T cell activation and immune response. Predicted to act upstream of or within regulation of natural killer cell activation. Located in endoplasmic reticulum. [provided by Alliance of Genome Resources, Jul 2025]","Enables identical protein binding activity. Predicted to be involved in T cell activation and immune response. Predicted to act upstream of or within regulation of natural killer cell activation. Located in endoplasmic reticulum. [provided by Alliance of Genome Resources, Jul 2025]",other/immune
KYNU,-5.017305851,-1.130651951,5.240113815e-07,2.56200097e-05,0.1833060556,8.151990081e-05,1.130651951,Downregulated,5.191298783,KYNU,HALLMARK_COMPLEMENT;HALLMARK_TNFA_SIGNALING_VIA_NFKB,"Kynureninase is a pyridoxal-5'-phosphate (pyridoxal-P) dependent enzyme that catalyzes the cleavage of L-kynurenine and L-3-hydroxykynurenine into anthranilic and 3-hydroxyanthranilic acids, respectively. Kynureninase is involved in the biosynthesis of NAD cofactors from tryptophan through the kynurenine pathway. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2010]","Kynureninase is a pyridoxal-5'-phosphate (pyridoxal-P) dependent enzyme that catalyzes the cleavage of L-kynurenine and L-3-hydroxykynurenine into anthranilic and 3-hydroxyanthranilic acids, respectively. Kynureninase is involved in the biosynthesis of NAD cofactors from tryptophan through the kynur",other/immune
PTPN6,-6.033431053,-1.192528844,1.6051438e-09,1.375028242e-07,0.2274959083,4.375180462e-07,1.192528844,Downregulated,8.182761313,PTPN6,HALLMARK_INTERFERON_GAMMA_RESPONSE,"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. N-terminal part of this PTP contains two tandem Src homolog (SH2) domains, which act as protein phospho-tyrosine binding domains, and mediate the interaction of this PTP with its substrates. This PTP is expressed primarily in hematopoietic cells, and functions as an important regulator of multiple signaling pathways in hematopoietic cells. This PTP has been shown to interact with, and dephosphorylate a wide spectrum of phospho-proteins involved in hematopoietic cell signaling. Multiple alternatively spliced variants of this gene, which encode distinct isoforms, have been reported. [provided by RefSeq, Jul 2008]","The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. N-terminal part of this PTP conta",other/immune
ST8SIA4,-6.109013557,-1.044863939,1.002489e-09,8.9643628e-08,0.271685761,2.852356324e-07,1.044863939,Downregulated,7.363658316,ST8SIA4,HALLMARK_INTERFERON_GAMMA_RESPONSE,"The protein encoded by this gene catalyzes the polycondensation of alpha-2,8-linked sialic acid required for the synthesis of polysialic acid, a modulator of the adhesive properties of neural cell adhesion molecule (NCAM1). The encoded protein, which is a member of glycosyltransferase family 29, is a type II membrane protein that may be present in the Golgi apparatus. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","The protein encoded by this gene catalyzes the polycondensation of alpha-2,8-linked sialic acid required for the synthesis of polysialic acid, a modulator of the adhesive properties of neural cell adhesion molecule (NCAM1). The encoded protein, which is a member of glycosyltransferase family 29, is ",other/immune
IFIH1,-6.533710003,-1.370730877,0.0,7.2270633e-09,0.1914893617,2.29956778e-08,1.370730877,Downregulated,11.15917235,IFIH1,HALLMARK_INTERFERON_ALPHA_RESPONSE;HALLMARK_INTERFERON_GAMMA_RESPONSE;HALLMARK_TNFA_SIGNALING_VIA_NFKB,"IFIH1 encodes MDA5 which is an intracellular sensor of viral RNA that triggers the innate immune response. Sensing RNA length and secondary structure, MDA5 binds dsRNA oligonucleotides with a modified DExD/H-box helicase core and a C-terminal domain, thus leading to a proinflammatory response that includes interferons. It has been shown that Coronaviruses (CoVs) as well as various other virus families, are capable of evading the MDA5-dependent interferon response, thus impeding the activation of the innate immune response to infection. MDA5 has also been shown to play an important role in enhancing natural killer cell function in malaria infection. In addition to its protective role in antiviral responses, MDA5 has been implicated in autoimmune and autoinflammatory diseases such as type 1 diabetes, systemic lupus erythematosus, and Aicardi-Goutieres syndrome[provided by RefSeq, Jul 2020]","IFIH1 encodes MDA5 which is an intracellular sensor of viral RNA that triggers the innate immune response. Sensing RNA length and secondary structure, MDA5 binds dsRNA oligonucleotides with a modified DExD/H-box helicase core and a C-terminal domain, thus leading to a proinflammatory response that i",other/immune
IL1B,6.627360821,2.672094107,0.0,4.1227392e-09,0.2749590835,1.31180782e-08,2.672094107,Upregulated,22.40501244,IL1B,HALLMARK_IL6_JAK_STAT3_SIGNALING;HALLMARK_INFLAMMATORY_RESPONSE;HALLMARK_TNFA_SIGNALING_VIA_NFKB,"The protein encoded by this gene is a member of the interleukin 1 cytokine family. This cytokine is produced by activated macrophages as a proprotein, which is proteolytically processed to its active form by caspase 1 (CASP1/ICE). This cytokine is an important mediator of the inflammatory response, and is involved in a variety of cellular activities, including cell proliferation, differentiation, and apoptosis. The induction of cyclooxygenase-2 (PTGS2/COX2) by this cytokine in the central nervous system (CNS) is found to contribute to inflammatory pain hypersensitivity. Similarly, IL-1B has been implicated in human osteoarthritis pathogenesis. Patients with severe Coronavirus Disease 2019 (COVID-19) present elevated levels of pro-inflammatory cytokines such as IL-1B in bronchial alveolar lavage fluid samples. The lung damage induced by the Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is to a large extent, a result of the inflammatory response promoted by cytokines such as IL-1B. This gene and eight other interleukin 1 family genes form a cytokine gene cluster on chromosome 2. [provided by RefSeq, Jul 2020]","The protein encoded by this gene is a member of the interleukin 1 cytokine family. This cytokine is produced by activated macrophages as a proprotein, which is proteolytically processed to its active form by caspase 1 (CASP1/ICE). This cytokine is an important mediator of the inflammatory response, ",signaling molecule (cytokine/chemokine)
