Term_ID	Term	Source	Gene
GO:0098542	defense response to other organism	GO:BP	IFI44L
GO:0098542	defense response to other organism	GO:BP	SLAMF7
GO:0098542	defense response to other organism	GO:BP	PTPN6
GO:0098542	defense response to other organism	GO:BP	IFIH1
GO:0098542	defense response to other organism	GO:BP	IL1B
GO:0098542	defense response to other organism	GO:BP	NFKB2
GO:0098542	defense response to other organism	GO:BP	CD40
GO:0006955	immune response	GO:BP	IFI44L
GO:0006955	immune response	GO:BP	SLAMF7
GO:0006955	immune response	GO:BP	PTPN6
GO:0006955	immune response	GO:BP	IFIH1
GO:0006955	immune response	GO:BP	IL1B
GO:0006955	immune response	GO:BP	NFKB2
GO:0006955	immune response	GO:BP	CD40
GO:0006955	immune response	GO:BP	LTB
REAC:R-HSA-168256	Immune System	REAC	SERPINB2
REAC:R-HSA-168256	Immune System	REAC	XAF1
REAC:R-HSA-168256	Immune System	REAC	SLAMF7
REAC:R-HSA-168256	Immune System	REAC	PTPN6
REAC:R-HSA-168256	Immune System	REAC	IFIH1
REAC:R-HSA-168256	Immune System	REAC	IL1B
REAC:R-HSA-168256	Immune System	REAC	NFKB2
REAC:R-HSA-168256	Immune System	REAC	LTB
GO:0001817	regulation of cytokine production	GO:BP	XAF1
GO:0001817	regulation of cytokine production	GO:BP	PTPN6
GO:0001817	regulation of cytokine production	GO:BP	IFIH1
GO:0001817	regulation of cytokine production	GO:BP	IL1B
GO:0001817	regulation of cytokine production	GO:BP	CD40
GO:0001817	regulation of cytokine production	GO:BP	LTB
WP:WP5115	Network map of SARS CoV 2 signaling	WP	IFI44L
WP:WP5115	Network map of SARS CoV 2 signaling	WP	PTPN6
WP:WP5115	Network map of SARS CoV 2 signaling	WP	IFIH1
WP:WP5115	Network map of SARS CoV 2 signaling	WP	IL1B
WP:WP5115	Network map of SARS CoV 2 signaling	WP	NFKB2
GO:0001816	cytokine production	GO:BP	XAF1
GO:0001816	cytokine production	GO:BP	PTPN6
GO:0001816	cytokine production	GO:BP	IFIH1
GO:0001816	cytokine production	GO:BP	IL1B
GO:0001816	cytokine production	GO:BP	CD40
GO:0001816	cytokine production	GO:BP	LTB
REAC:R-HSA-1280215	Cytokine Signaling in Immune system	REAC	SERPINB2
REAC:R-HSA-1280215	Cytokine Signaling in Immune system	REAC	XAF1
REAC:R-HSA-1280215	Cytokine Signaling in Immune system	REAC	PTPN6
REAC:R-HSA-1280215	Cytokine Signaling in Immune system	REAC	IL1B
REAC:R-HSA-1280215	Cytokine Signaling in Immune system	REAC	NFKB2
REAC:R-HSA-1280215	Cytokine Signaling in Immune system	REAC	LTB
GO:0009605	response to external stimulus	GO:BP	IFI44L
GO:0009605	response to external stimulus	GO:BP	SERPINB2
GO:0009605	response to external stimulus	GO:BP	SLAMF7
GO:0009605	response to external stimulus	GO:BP	PTPN6
GO:0009605	response to external stimulus	GO:BP	IFIH1
GO:0009605	response to external stimulus	GO:BP	IL1B
GO:0009605	response to external stimulus	GO:BP	NFKB2
GO:0009605	response to external stimulus	GO:BP	CD40
GO:0051707	response to other organism	GO:BP	IFI44L
GO:0051707	response to other organism	GO:BP	SLAMF7
GO:0051707	response to other organism	GO:BP	PTPN6
GO:0051707	response to other organism	GO:BP	IFIH1
GO:0051707	response to other organism	GO:BP	IL1B
GO:0051707	response to other organism	GO:BP	NFKB2
GO:0051707	response to other organism	GO:BP	CD40
GO:0043207	response to external biotic stimulus	GO:BP	IFI44L
GO:0043207	response to external biotic stimulus	GO:BP	SLAMF7
GO:0043207	response to external biotic stimulus	GO:BP	PTPN6
GO:0043207	response to external biotic stimulus	GO:BP	IFIH1
GO:0043207	response to external biotic stimulus	GO:BP	IL1B
GO:0043207	response to external biotic stimulus	GO:BP	NFKB2
GO:0043207	response to external biotic stimulus	GO:BP	CD40
GO:0034097	response to cytokine	GO:BP	XAF1
GO:0034097	response to cytokine	GO:BP	PTPN6
GO:0034097	response to cytokine	GO:BP	IFIH1
GO:0034097	response to cytokine	GO:BP	IL1B
GO:0034097	response to cytokine	GO:BP	NFKB2
GO:0034097	response to cytokine	GO:BP	CD40
GO:1901652	response to peptide	GO:BP	XAF1
GO:1901652	response to peptide	GO:BP	PTPN6
GO:1901652	response to peptide	GO:BP	IFIH1
GO:1901652	response to peptide	GO:BP	IL1B
GO:1901652	response to peptide	GO:BP	NFKB2
GO:1901652	response to peptide	GO:BP	CD40
GO:0009607	response to biotic stimulus	GO:BP	IFI44L
GO:0009607	response to biotic stimulus	GO:BP	SLAMF7
GO:0009607	response to biotic stimulus	GO:BP	PTPN6
GO:0009607	response to biotic stimulus	GO:BP	IFIH1
GO:0009607	response to biotic stimulus	GO:BP	IL1B
GO:0009607	response to biotic stimulus	GO:BP	NFKB2
GO:0009607	response to biotic stimulus	GO:BP	CD40
HP:0033166	Recurrent viral upper respiratory tract infections	HP	IFIH1
HP:0033166	Recurrent viral upper respiratory tract infections	HP	NFKB2
GO:0044419	biological process involved in interspecies interaction between organisms	GO:BP	IFI44L
GO:0044419	biological process involved in interspecies interaction between organisms	GO:BP	SLAMF7
GO:0044419	biological process involved in interspecies interaction between organisms	GO:BP	PTPN6
GO:0044419	biological process involved in interspecies interaction between organisms	GO:BP	IFIH1
GO:0044419	biological process involved in interspecies interaction between organisms	GO:BP	IL1B
GO:0044419	biological process involved in interspecies interaction between organisms	GO:BP	NFKB2
GO:0044419	biological process involved in interspecies interaction between organisms	GO:BP	CD40
REAC:R-HSA-448706	Interleukin-1 processing	REAC	IL1B
REAC:R-HSA-448706	Interleukin-1 processing	REAC	NFKB2
GO:0006952	defense response	GO:BP	IFI44L
GO:0006952	defense response	GO:BP	SLAMF7
GO:0006952	defense response	GO:BP	PTPN6
GO:0006952	defense response	GO:BP	IFIH1
GO:0006952	defense response	GO:BP	IL1B
GO:0006952	defense response	GO:BP	NFKB2
GO:0006952	defense response	GO:BP	CD40
GO:0002376	immune system process	GO:BP	IFI44L
GO:0002376	immune system process	GO:BP	SLAMF7
GO:0002376	immune system process	GO:BP	PTPN6
GO:0002376	immune system process	GO:BP	IFIH1
GO:0002376	immune system process	GO:BP	IL1B
GO:0002376	immune system process	GO:BP	NFKB2
GO:0002376	immune system process	GO:BP	CD40
GO:0002376	immune system process	GO:BP	LTB
WP:WP4341	Non genomic actions of 1 25 dihydroxyvitamin D3	WP	IFI44L
WP:WP4341	Non genomic actions of 1 25 dihydroxyvitamin D3	WP	NFKB2
WP:WP4341	Non genomic actions of 1 25 dihydroxyvitamin D3	WP	CD40
GO:0007249	canonical NF-kappaB signal transduction	GO:BP	IL1B
GO:0007249	canonical NF-kappaB signal transduction	GO:BP	NFKB2
GO:0007249	canonical NF-kappaB signal transduction	GO:BP	CD40
GO:0007249	canonical NF-kappaB signal transduction	GO:BP	LTB
GO:0051607	defense response to virus	GO:BP	IFI44L
GO:0051607	defense response to virus	GO:BP	IFIH1
GO:0051607	defense response to virus	GO:BP	IL1B
GO:0051607	defense response to virus	GO:BP	CD40
GO:0002250	adaptive immune response	GO:BP	SLAMF7
GO:0002250	adaptive immune response	GO:BP	PTPN6
GO:0002250	adaptive immune response	GO:BP	IL1B
GO:0002250	adaptive immune response	GO:BP	NFKB2
GO:0002250	adaptive immune response	GO:BP	CD40
WP:WP4462	Platelet mediated interactions with vascular and circulating cells	WP	IL1B
WP:WP4462	Platelet mediated interactions with vascular and circulating cells	WP	CD40
GO:0002449	lymphocyte mediated immunity	GO:BP	SLAMF7
GO:0002449	lymphocyte mediated immunity	GO:BP	PTPN6
GO:0002449	lymphocyte mediated immunity	GO:BP	IL1B
GO:0002449	lymphocyte mediated immunity	GO:BP	CD40
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GO:BP	PTPN6
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GO:BP	IL1B
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GO:BP	NFKB2
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	GO:BP	CD40
HP:0002633	Vasculitis	HP	PTPN6
HP:0002633	Vasculitis	HP	IFIH1
HP:0002633	Vasculitis	HP	NFKB2
WP:WP5146	Lung pathology of COVID 19	WP	IFIH1
WP:WP5146	Lung pathology of COVID 19	WP	IL1B
GO:0009615	response to virus	GO:BP	IFI44L
GO:0009615	response to virus	GO:BP	IFIH1
GO:0009615	response to virus	GO:BP	IL1B
GO:0009615	response to virus	GO:BP	CD40
REAC:R-HSA-446652	Interleukin-1 family signaling	REAC	PTPN6
REAC:R-HSA-446652	Interleukin-1 family signaling	REAC	IL1B
REAC:R-HSA-446652	Interleukin-1 family signaling	REAC	NFKB2
REAC:R-HSA-9660826	Purinergic signaling in leishmaniasis infection	REAC	IL1B
REAC:R-HSA-9660826	Purinergic signaling in leishmaniasis infection	REAC	NFKB2
REAC:R-HSA-933542	TRAF6 mediated NF-kB activation	REAC	IFIH1
REAC:R-HSA-933542	TRAF6 mediated NF-kB activation	REAC	NFKB2
