Source,Term_ID,Term,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,adj_p_value,-log10(adj_p),hits,Category
GO:BP,GO:0098542,defense response to other organism,0.0003299908858456099,True,"""Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism."" [GOC:dos]",1263,10,7,21026,0.7,0.0055423594615993665,query_1,"['GO:0006952', 'GO:0051707']","['IFI44L', 'SLAMF7', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2', 'CD40']","[['IDA', 'IEA'], ['NAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IBA'], ['IEA']]",0.0003299908858456099,3.4814980549149013,7,Other
GO:BP,GO:0006955,immune response,0.0003801141077661347,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",2070,10,8,21026,0.8,0.003864734299516908,query_1,"['GO:0002376', 'GO:0050896']","['IFI44L', 'SLAMF7', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2', 'CD40', 'LTB']","[['IBA'], ['NAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IGI', 'IC', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IEA']]",0.0003801141077661347,3.420086011451135,8,Other
REAC,REAC:R-HSA-168256,Immune System,0.0004108184104616935,True,Immune System,2085,8,8,11004,1.0,0.0038369304556354917,query_1,['REAC:0000000'],"['SERPINB2', 'XAF1', 'SLAMF7', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2', 'LTB']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]",0.0004108184104616935,3.3863501021176923,8,Other
GO:BP,GO:0001817,regulation of cytokine production,0.0005537391617809328,True,"""Any process that modulates the frequency, rate, or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]",781,10,6,21026,0.6,0.0076824583866837385,query_1,"['GO:0001816', 'GO:0010468', 'GO:0051239']","['XAF1', 'PTPN6', 'IFIH1', 'IL1B', 'CD40', 'LTB']","[['IDA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'IEA'], ['IEA'], ['ISS', 'IEA']]",0.0005537391617809328,3.2566947610393906,6,Immune signaling
WP,WP:WP5115,Network map of SARS CoV 2 signaling,0.0005760555567130606,True,Network map of SARS CoV 2 signaling,253,10,5,8752,0.5,0.019762845849802372,query_1,['WP:000000'],"['IFI44L', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2']","[['WP'], ['WP'], ['WP'], ['WP'], ['WP']]",0.0005760555567130606,3.2395356297532003,5,Other
GO:BP,GO:0001816,cytokine production,0.0005792596458022962,True,"""The appearance of a cytokine due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149]",787,10,6,21026,0.6,0.007623888182973317,query_1,"['GO:0010467', 'GO:0032501']","['XAF1', 'PTPN6', 'IFIH1', 'IL1B', 'CD40', 'LTB']","[['IDA'], ['ISS', 'IEA'], ['IDA', 'IMP', 'TAS'], ['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'IEA'], ['IEA'], ['ISS', 'IEA']]",0.0005792596458022962,3.237126725628048,6,Immune signaling
REAC,REAC:R-HSA-1280215,Cytokine Signaling in Immune system,0.0007701500619768602,True,Cytokine Signaling in Immune system,780,8,6,11004,0.75,0.007692307692307693,query_1,['REAC:R-HSA-168256'],"['SERPINB2', 'XAF1', 'PTPN6', 'IL1B', 'NFKB2', 'LTB']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]",0.0007701500619768602,3.1134246452965275,6,Immune signaling
GO:BP,GO:0009605,response to external stimulus,0.001265764869440715,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2415,10,8,21026,0.8,0.0033126293995859213,query_1,['GO:0050896'],"['IFI44L', 'SERPINB2', 'SLAMF7', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2', 'CD40']","[['IDA', 'IEA'], ['TAS'], ['NAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IEP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IGI', 'IEP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IEP', 'IEA']]",0.001265764869440715,2.897646962082049,8,Other
GO:BP,GO:0051707,response to other organism,0.0016026932050354189,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]",1592,10,7,21026,0.7,0.0043969849246231155,query_1,"['GO:0043207', 'GO:0044419']","['IFI44L', 'SLAMF7', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2', 'CD40']","[['IDA', 'IEA'], ['NAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IEP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IEA']]",0.0016026932050354189,2.795149604353296,7,Other
GO:BP,GO:0043207,response to external biotic stimulus,0.0016233447549869383,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]",1595,10,7,21026,0.7,0.00438871473354232,query_1,"['GO:0009605', 'GO:0009607']","['IFI44L', 'SLAMF7', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2', 'CD40']","[['IDA', 'IEA'], ['NAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IEP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IEA']]",0.0016233447549869383,2.7895892378518345,7,Other
GO:BP,GO:0034097,response to cytokine,0.001717156627004268,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:sl]",947,10,6,21026,0.6,0.006335797254487857,query_1,['GO:1901652'],"['XAF1', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2', 'CD40']","[['IDA'], ['TAS'], ['IMP', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IEA']]",0.001717156627004268,2.765190089730569,6,Immune signaling
GO:BP,GO:1901652,response to peptide,0.001882633004473521,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]",962,10,6,21026,0.6,0.006237006237006237,query_1,['GO:0042221'],"['XAF1', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2', 'CD40']","[['IDA'], ['TAS'], ['IMP', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IEA']]",0.001882633004473521,2.725234331956774,6,Other
GO:BP,GO:0009607,response to biotic stimulus,0.0019130470348055978,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]",1634,10,7,21026,0.7,0.004283965728274173,query_1,['GO:0050896'],"['IFI44L', 'SLAMF7', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2', 'CD40']","[['IDA', 'IEA'], ['NAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IEP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IEA']]",0.0019130470348055978,2.718274352134014,7,Other
HP,HP:0033166,Recurrent viral upper respiratory tract infections,0.002278967177673905,True,"An increased susceptibility to viral upper respiratory tract infections as manifested by a history of recurrent viral upper respiratory tract infections (otitis, sinusitis, pharyngitis, tonsillitis).",3,5,2,5080,0.4,0.6666666666666666,query_1,"['HP:0002788', 'HP:0004429']","['IFIH1', 'NFKB2']","[['HP'], ['HP']]",0.002278967177673905,2.6422619296058265,2,Interferon/antiviral
GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,0.003154610967340177,True,"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]",1759,10,7,21026,0.7,0.003979533826037522,query_1,['GO:0008150'],"['IFI44L', 'SLAMF7', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2', 'CD40']","[['IDA', 'IEA'], ['NAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IEP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IBA', 'IEA'], ['IEA']]",0.003154610967340177,2.50105419114407,7,Other
REAC,REAC:R-HSA-448706,Interleukin-1 processing,0.004152056834664912,True,Interleukin-1 processing,9,8,2,11004,0.25,0.2222222222222222,query_1,['REAC:R-HSA-446652'],"['IL1B', 'NFKB2']","[['REAC'], ['REAC']]",0.004152056834664912,2.38173671035892,2,Other
GO:BP,GO:0006952,defense response,0.004487253512510756,True,"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]",1853,10,7,21026,0.7,0.0037776578521316784,query_1,['GO:0006950'],"['IFI44L', 'SLAMF7', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2', 'CD40']","[['IDA', 'IEA'], ['NAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IGI', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], ['IBA'], ['TAS', 'IEA']]",0.004487253512510756,2.3480193938111715,7,Other
GO:BP,GO:0002376,immune system process,0.004844660010487756,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2871,10,8,21026,0.8,0.002786485545106235,query_1,['GO:0008150'],"['IFI44L', 'SLAMF7', 'PTPN6', 'IFIH1', 'IL1B', 'NFKB2', 'CD40', 'LTB']","[['IBA'], ['IBA', 'NAS', 'IEA'], ['IDA', 'TAS', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IDA', 'IGI', 'IBA', 'IC', 'IEA'], ['IBA', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IEA']]",0.004844660010487756,2.3147366955482114,8,Other
WP,WP:WP4341,Non genomic actions of 1 25 dihydroxyvitamin D3,0.008850791363833193,True,Non genomic actions of 1 25 dihydroxyvitamin D3,74,10,3,8752,0.3,0.04054054054054054,query_1,['WP:000000'],"['IFI44L', 'NFKB2', 'CD40']","[['WP'], ['WP'], ['WP']]",0.008850791363833193,2.053017896581185,3,Other
