stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000263341	9606.ENSP00000410481	IL1B	LTB	9606	0.507	0	0	0	0.098	0	0	0.476
9606.ENSP00000263341	9606.ENSP00000401645	IL1B	SERPINB2	9606	0.585	0	0	0	0.208	0	0	0.497
9606.ENSP00000263341	9606.ENSP00000497271	IL1B	IFIH1	9606	0.689	0	0	0	0.144	0	0	0.652
9606.ENSP00000263341	9606.ENSP00000358983	IL1B	NFKB2	9606	0.771	0	0	0	0.148	0	0.4	0.588
9606.ENSP00000263341	9606.ENSP00000361359	IL1B	CD40	9606	0.949	0	0	0	0.133	0	0	0.944
9606.ENSP00000339398	9606.ENSP00000391592	HLA-DQA1	PTPN6	9606	0.545	0	0	0	0.115	0	0.5	0.055
9606.ENSP00000354822	9606.ENSP00000497271	XAF1	IFIH1	9606	0.849	0	0	0	0.762	0	0	0.394
9606.ENSP00000354822	9606.ENSP00000359787	XAF1	IFI44L	9606	0.981	0	0	0	0.935	0	0	0.726
9606.ENSP00000357022	9606.ENSP00000361359	SLAMF7	CD40	9606	0.593	0	0	0	0.163	0	0	0.534
9606.ENSP00000358983	9606.ENSP00000497271	NFKB2	IFIH1	9606	0.656	0	0	0	0.126	0.045	0.5	0.272
9606.ENSP00000358983	9606.ENSP00000410481	NFKB2	LTB	9606	0.794	0	0	0	0.116	0	0	0.777
9606.ENSP00000358983	9606.ENSP00000361359	NFKB2	CD40	9606	0.799	0	0	0	0.176	0	0	0.766
9606.ENSP00000359787	9606.ENSP00000497271	IFI44L	IFIH1	9606	0.904	0	0	0	0.786	0	0	0.571
9606.ENSP00000361359	9606.ENSP00000497271	CD40	IFIH1	9606	0.479	0	0	0	0.126	0	0	0.428
9606.ENSP00000361359	9606.ENSP00000410481	CD40	LTB	9606	0.765	0	0	0	0.126	0	0.5	0.506
