gene_name,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pvals_adj_weighted,logfoldchanges_abs,significance,rank
IFIT3,-2.649474382,-1.40613091,0.008061708759,0.04977653488,0.05647840532,0.1774654831,1.40613091,Downregulated,1.8321539
EPHB6,-2.650527954,-1.94944489,0.008036607976,0.04966667579,0.02657807309,0.1770738086,1.94944489,Downregulated,2.541949241
NCKIPSD,-2.651581526,-1.888021946,0.008011577191,0.04955704968,0.02325581395,0.1766829648,1.888021946,Downregulated,2.46366956
DENND1C,-2.656849384,-1.208590508,0.007887467363,0.04892293416,0.04983388704,0.1744221884,1.208590508,Downregulated,1.583842757
APEX2,-2.663170815,-2.069273949,0.007740810659,0.04815979485,0.02990033223,0.1717014107,2.069273949,Downregulated,2.725886381
DHRS4L2,-2.669492245,-1.418814301,0.007596602257,0.04743630224,0.05315614618,0.1691219831,1.418814301,Downregulated,1.878352891
CBR1,-2.673179865,-1.476549864,0.007513597313,0.04701879129,0.05647840532,0.1676334548,1.476549864,Downregulated,1.960457394
NLRC4,-2.674233437,-2.915917397,0.007490031461,0.04691451964,0.01993355482,0.1672617009,2.915917397,Downregulated,3.874358235
SEMA4A,-2.678447723,-1.62449944,0.007396429485,0.04644237891,0.03322259136,0.1655784041,1.62449944,Downregulated,2.165596718
HSH2D,-2.68529582,-1.518911242,0.007246562517,0.04558559599,0.03986710963,0.1625237641,1.518911242,Downregulated,2.03712178
DENND2D,-2.685822725,-1.213056207,0.00723514795,0.04557003287,0.04318936877,0.1624682778,1.213056207,Downregulated,1.62709735
ZNF227,-2.688456535,-1.181142569,0.007178316796,0.04524003797,0.05980066445,0.1612917655,1.181142569,Downregulated,1.588019063
RP11-318M2.2,2.693197727,2.314388037,0.00707702963,0.04479555421,0.2159468439,0.1597070725,2.314388037,Upregulated,3.121565779
AC093673.5,-2.696621895,-1.075861454,0.007004677809,0.04442033318,0.08637873754,0.1583693181,1.075861454,Downregulated,1.455014599
MYO10,-2.696885109,-1.024716496,0.006999139896,0.04439902433,0.06644518272,0.1582933468,1.024716496,Downregulated,1.386058763
RP11-304L19.5,-2.697412014,-1.070145607,0.006988075864,0.04434263639,0.06312292359,0.1580923101,1.070145607,Downregulated,1.448098016
