gene_name,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pvals_adj_weighted,logfoldchanges_abs,significance,rank
UNK,-3.362001657,-1.224874139,0.0007737968278,0.04930053039,0.1463414634,0.3131698353,1.224874139,Downregulated,1.601092281
MCM9,-3.381172419,-1.096632957,0.0007217720916,0.04655667638,0.2195121951,0.2957401586,1.096632957,Downregulated,1.460734873
ZNF44,-3.379922152,-1.421526313,0.0007250633876,0.04655667638,0.1170731707,0.2957401586,1.421526313,Downregulated,1.89349868
DSTN,3.379505396,1.079310536,0.000726163581,0.04655667638,0.4341463415,0.2957401586,1.079310536,Upregulated,1.437661095
DHRS7B,-3.385340214,-1.771754026,0.0007109010802,0.04601222611,0.09268292683,0.2922816683,1.771754026,Downregulated,2.369059712
EXOC1,-3.390758038,-1.375478268,0.0006969961605,0.0454005039,0.1268292683,0.2883958492,1.375478268,Downregulated,1.847183859
ESYT2,-3.394508839,-1.004191279,0.000687518204,0.04492667033,0.2634146341,0.2853859347,1.004191279,Downregulated,1.353143499
DUSP4,3.401176929,1.169413924,0.0006709636907,0.04427057516,0.4146341463,0.281218247,1.169413924,Upregulated,1.583251779
HIP1,-3.405344486,-1.10462594,0.0006608061182,0.04388441413,0.2536585366,0.2787652513,1.10462594,Downregulated,1.499739256
PRKAG1,-3.43451786,-1.636890411,0.0005936091197,0.04061242527,0.09268292683,0.2579807242,1.636890411,Downregulated,2.277472864
MAP7D1,-3.445353508,-1.297398806,0.0005703129345,0.0392822301,0.1268292683,0.2495309773,1.297398806,Downregulated,1.823888255
CBFB,-3.445770264,-1.215013981,0.0005694341624,0.0392822301,0.1756097561,0.2495309773,1.215013981,Downregulated,1.70807135
PI4K2B,-3.458273172,-1.022138953,0.0005436500024,0.03782913396,0.2731707317,0.2403005314,1.022138953,Downregulated,1.453659036
AKAP10,-3.460356951,-1.015547395,0.0005394598859,0.03778289559,0.2682926829,0.2400068132,1.015547395,Downregulated,1.444824114
RP11-703M24.5,3.463690996,1.223377705,0.0005328182352,0.03745895924,0.3951219512,0.237949085,1.223377705,Upregulated,1.745080145
NDUFV1,-3.475360155,-1.497620583,0.0005101677354,0.03649578873,0.1024390244,0.2318307746,1.497620583,Downregulated,2.153214845
TNFRSF1A,-3.482861996,-1.322783113,0.0004960841553,0.03573909455,0.1219512195,0.2270240557,1.322783113,Downregulated,1.913877284
APPBP2,-3.486612797,-1.016036034,0.0004891791076,0.03560323584,0.2634146341,0.2261610457,1.016036034,Downregulated,1.471738892
EPS15L1,-3.49494791,-1.054229856,0.0004741541952,0.03464894527,0.243902439,0.2200991429,1.054229856,Downregulated,1.53950238
STARD9,-3.500365734,-1.772545815,0.0004646200463,0.03419737727,0.09268292683,0.2172306652,1.772545815,Downregulated,2.598564927
CTSW,-3.503283262,-1.076889515,0.0004595606585,0.03407099165,0.2341463415,0.2164278307,1.076889515,Downregulated,1.580459449
TBRG1,-3.504533529,-1.009245276,0.0004574081259,0.03403517106,0.2682926829,0.2162002889,1.009245276,Downregulated,1.481644794
ME2,-3.507867575,-1.317630053,0.0004517139456,0.03373459312,0.1609756098,0.2142909394,1.317630053,Downregulated,1.939451987
RASAL3,-3.517452955,-1.059132814,0.0004357095187,0.03290090988,0.2243902439,0.2089951659,1.059132814,Downregulated,1.570473761
MIR181A1HG,-3.543708801,-1.554971457,0.0003945406672,0.03001453404,0.1317073171,0.1906601533,1.554971457,Downregulated,2.367705891
DDHD1,-3.557045221,-1.070818424,0.0003750496797,0.02863862498,0.2682926829,0.1819200199,1.070818424,Downregulated,1.652324054
SPCS1,-3.562463045,-1.244981408,0.0003673916271,0.02815932516,0.1658536585,0.1788753823,1.244981408,Downregulated,1.930191483
SIRT7,-3.574549198,-1.133561969,0.0003508319902,0.02730062067,0.1951219512,0.1734206673,1.133561969,Downregulated,1.772695356
NCS1,3.581217289,2.4574368,0.0003419971292,0.02692138019,0.2731707317,0.1710116328,2.4574368,Upregulated,3.857936615
P4HB,-3.591636181,-1.190479279,0.0003286083116,0.0260687403,0.1853658537,0.1655954417,1.190479279,Downregulated,1.885576266
TNRC6C,-3.597054005,-1.011066675,0.0003218415403,0.02563166142,0.2829268293,0.1628190026,1.011066675,Downregulated,1.608832793
MICU2,-3.608723402,-1.011089563,0.0003077074793,0.02489500035,0.2975609756,0.1581395392,1.011089563,Downregulated,1.621674279
PDGFD,-3.61080718,-1.024719715,0.0003052455234,0.0247942061,0.3024390244,0.1574992679,1.024719715,Downregulated,1.645340998
CARHSP1,-3.625393867,-1.335363746,0.000288521463,0.02389221998,0.1463414634,0.1517696166,1.335363746,Downregulated,2.165617469
OSTM1,-3.637896538,-1.726991296,0.0002748737473,0.02296772934,0.09756097561,0.1458970108,1.726991296,Downregulated,2.830334842
TNFSF14,-3.649565935,-1.575204253,0.0002626838889,0.02222240302,0.09756097561,0.1411625035,1.575204253,Downregulated,2.604141818
TBC1D5,-3.667903185,-1.065662026,0.0002445476409,0.02077432209,0.2682926829,0.1319639155,1.065662026,Downregulated,1.792947735
CD2BP2,-3.671237469,-1.541722655,0.0002413790313,0.02067746088,0.112195122,0.1313486278,1.541722655,Downregulated,2.597036118
TMC8,-3.674154758,-1.351330042,0.0002386381342,0.02052892101,0.156097561,0.1304050638,1.351330042,Downregulated,2.280550357
CAP1,-3.682906628,-1.078241467,0.0002305896219,0.01995320302,0.2487804878,0.1267479529,1.078241467,Downregulated,1.832996886
LINC00861,-3.682489872,-1.398383021,0.0002309670352,0.01995320302,0.1463414634,0.1267479529,1.398383021,Downregulated,2.377233487
BSG,-3.687074184,-1.226137638,0.0002268471898,0.01984961591,0.1756097561,0.1260899405,1.226137638,Downregulated,2.08719021
NFX1,-3.689574718,-1.30347085,0.0002246291749,0.01980502987,0.1804878049,0.1258067184,1.30347085,Downregulated,2.220103485
TTC38,-3.696243048,-1.43739593,0.0002188135811,0.01956654075,0.1414634146,0.1242917733,1.43739593,Downregulated,2.455770749
KIAA2026,-3.709579229,-1.066557765,0.0002076039481,0.0187284482,0.287804878,0.1189679907,1.066557765,Downregulated,1.842476625
KCNAB2,-3.722082138,-1.31908071,0.0001975867766,0.01790399645,0.1609756098,0.113730858,1.31908071,Downregulated,2.304499978
ATF6B,-3.757923365,-1.557847619,0.0001713292985,0.01573451234,0.1219512195,0.09994972869,1.557847619,Downregulated,2.809027813
SLC30A9,-3.776260853,-1.190726995,0.0001592002699,0.01475352319,0.2195121951,0.09371822962,1.190726995,Downregulated,2.18034527
CD81,-3.785429478,-1.041698694,0.0001534432926,0.0143504672,0.3219512195,0.0911579128,1.041698694,Downregulated,1.919990239
SP110,-3.799182653,-1.106339335,0.0001451740824,0.01370282034,0.2829268293,0.08704389088,1.106339335,Downregulated,2.061320427
GLIPR2,-3.799599409,-1.121364594,0.0001449301752,0.01370282034,0.243902439,0.08704389088,1.121364594,Downregulated,2.089315338
RBM5,-3.824188232,-1.138695717,0.000131203654,0.01267763079,0.2341463415,0.08053161934,1.138695717,Downregulated,2.160062391
CTSC,-3.832940102,-1.028517723,0.00012662075,0.01229306596,0.3512195122,0.07808876316,1.028517723,Downregulated,1.964818329
CREM,3.837107897,1.75129354,0.0001244918417,0.01214420894,0.356097561,0.07714318456,1.75129354,Upregulated,3.354831791
FAM133B,-3.840025187,-1.016712666,0.0001230217312,0.01205849546,0.4390243902,0.07659871012,1.016712666,Downregulated,1.950773582
