gene_name,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pvals_adj_weighted,logfoldchanges_abs,significance,rank
HAR1B,-2.332659721,-1.424369693,0.01966600659,0.04964102294,0.009308510638,0.04964102294,1.424369693,Downregulated,1.85760495
TM4SF2,2.354002714,1.456398726,0.0185724809,0.04704966957,0.05343326886,0.04704966957,1.456398726,Upregulated,1.933286908
CNTD1,2.362378359,1.681476951,0.0181580981,0.04603995822,0.04714700193,0.04603995822,1.681476951,Upregulated,2.247907817
C1orf233,-2.365023613,-1.303215265,0.01802891989,0.04574002894,0.01063829787,0.04574002894,1.303215265,Downregulated,1.745922137
CTC-454I21.3,2.367331028,1.175042033,0.01791689869,0.04546231866,0.06491779497,0.04546231866,1.175042033,Upregulated,1.577315815
RP11-570L15.2,2.374562263,1.474332571,0.01756977144,0.04462594994,0.05149903288,0.04462594994,1.474332571,Upregulated,1.990957172
RP11-141B14.1,-2.378771067,-1.081446648,0.01737045721,0.04416372135,0.01583655706,0.04416372135,1.081446648,Downregulated,1.465289199
PKD2L2,2.420498133,1.046686292,0.01549925931,0.03960878651,0.08256769826,0.03960878651,1.046686292,Upregulated,1.467672376
CTD-2024I7.13,2.426511526,2.148044825,0.01524476703,0.03898285592,0.04073984526,0.03898285592,2.148044825,Upregulated,3.026866557
HIST1H4E,2.456651688,1.968042135,0.01402385641,0.03596910107,0.04243230174,0.03596910107,1.968042135,Upregulated,2.841991425
NOXRED1,-2.457398176,-1.237975121,0.01399474789,0.03589895824,0.01341876209,0.03589895824,1.237975121,Downregulated,1.788772726
AC010976.2,2.457450628,1.38977766,0.0139927072,0.03589824013,0.05718085106,0.03589824013,1.38977766,Upregulated,2.008127045
RP11-1149M10.1,2.465260506,1.221971154,0.01369136277,0.03514725563,0.07035783366,0.03514725563,1.221971154,Upregulated,1.77687874
FBXL6,-2.472847939,-1.153912663,0.01340411196,0.03444888877,0.0124516441,0.03444888877,1.153912663,Downregulated,1.687972041
S100A8,2.47807312,2.007356882,0.01320940809,0.03396133821,0.0415860735,0.03396133821,2.007356882,Upregulated,2.948837782
RP11-39E3.3,2.492179394,1.378399134,0.01269618935,0.03272852554,0.05669729207,0.03272852554,1.378399134,Upregulated,2.047024108
SOCS3,2.501430035,1.063828945,0.01236929121,0.03193833703,0.08268858801,0.03193833703,1.063828945,Upregulated,1.591155869
