gene_name,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pvals_adj_weighted,logfoldchanges_abs,significance,rank
RP11-553L6.5,-2.642416239,-1.031321287,0.008231683723,0.04785502359,0.03523412146,0.09371470124,1.031321287,Downregulated,1.361418834
FURIN,2.712250233,1.271220922,0.006682811189,0.03985959841,0.1242466389,0.07805722527,1.271220922,Upregulated,1.779031834
EREG,2.715060949,2.29643321,0.006626358573,0.03956471069,0.07742234585,0.07747974535,2.29643321,Upregulated,3.221188506
LINC00954,-2.732917547,-1.375800252,0.006277603783,0.03773224821,0.02596198424,0.0738912261,1.375800252,Downregulated,1.95815905
CCL2,2.759505987,6.962366581,0.005788884405,0.0351365809,0.05841446453,0.06880811949,6.962366581,Upregulated,10.12495547
RP11-815J21.4,2.77069211,1.076953888,0.0055937296,0.03411455551,0.1502086231,0.06680668272,1.076953888,Upregulated,1.579956275
RP11-203B9.4,2.770935774,1.118851185,0.005589546836,0.03409924623,0.1395456653,0.06677670248,1.118851185,Upregulated,1.641640243
MANEA-AS1,-2.77738142,-1.133669496,0.005479884812,0.0335344463,0.03523412146,0.06567065233,1.133669496,Downregulated,1.671605716
RP11-557C18.3,2.798666954,1.113828778,0.005131403459,0.03174121776,0.1386184516,0.06215896505,1.113828778,Upregulated,1.668934772
MYO1G,-2.799791098,-1.021181107,0.005113567247,0.03165009382,0.03940658322,0.06198051664,1.021181107,Downregulated,1.531388715
DENND2D,-2.805712223,-1.028056979,0.005020551272,0.03116900101,0.04218822439,0.06103839051,1.028056979,Downregulated,1.548538703
PTPN6,-2.837603092,-1.411272168,0.004545365506,0.02877085127,0.02457116365,0.05634208341,1.411272168,Downregulated,2.174837147
ALG14,-2.843861341,-1.107788205,0.004457042548,0.02827323692,0.04265183125,0.05536760307,1.107788205,Downregulated,1.715547919
RP11-558F24.4,2.851468801,1.352727294,0.004351775595,0.02773982162,0.1228558183,0.05432301355,1.352727294,Upregulated,2.106056168
RP5-857K21.4,2.851412535,1.924282193,0.004352545093,0.02773982162,0.08993973111,0.05432301355,1.924282193,Upregulated,2.995907896
AMY2B,-2.898649454,-1.195881248,0.003747736441,0.02431853933,0.04172461752,0.04762310154,1.195881248,Downregulated,1.930227093
RP1-225E12.2,2.910041809,1.25464642,0.003613804612,0.02354972301,0.1363004172,0.04611752518,1.25464642,Upregulated,2.042582184
HIST1H1D,2.916787148,1.417424798,0.003536569529,0.02313978805,0.120537784,0.04531474778,1.417424798,Upregulated,2.31839758
TMEM80,-2.936124086,-1.135276794,0.003323412758,0.02187850801,0.04126101066,0.04284477758,1.135276794,Downregulated,1.884539382
RP11-575L7.8,2.949596405,1.604032397,0.003181893804,0.02110359495,0.1066295781,0.04132726195,1.604032397,Upregulated,2.687786552
RINL,-2.959845543,-1.03826499,0.003077932145,0.02053431956,0.04311543811,0.04021244748,1.03826499,Downregulated,1.752092607
CRELD2,-2.985384703,-1.537747979,0.002832219307,0.01914565226,0.02410755679,0.03749301426,1.537747979,Downregulated,2.641743129
SLC43A2,-2.997807503,-1.273931265,0.002719293605,0.0184864815,0.0324524803,0.03620215728,1.273931265,Downregulated,2.207908544
RCE1,-2.998032331,-1.052016497,0.002717288147,0.01847900959,0.03987019008,0.03618752501,1.052016497,Downregulated,1.823482611
